2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_2 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_3 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_4 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_5 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_6 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_7 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_8 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_9 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined index: bSearchable_10 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 17:56:28 Debug: Notice (8): Undefined variable: sOrder in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 188]
2011-04-19 17:56:28 Debug: Notice (8): Undefined variable: gaSql in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 190]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: sSearch in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 150]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_0 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_1 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_2 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_3 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_4 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_5 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
